industry,avg_valuation
"Supply chain, logistics, & delivery",7775000000.0
Fintech,6285945945.945946
Data,5126666666.666667
E-commerce & direct-to-consumer,4236363636.3636365
Internet,3236279069.7674417
Cybersecurity,3135000000.0
Travel,3050000000.0
Auto & transportation,2975000000.0
Artificial intelligence,2370000000.0
Hardware,2000000000.0
Edtech,2000000000.0
Health,1977777777.7777777
Mobile & telecommunications,1942857142.857143
Consumer & retail,1620000000.0
Other,1325000000.0
