company,company_clean,founded_year,joined_date,valuation_billion,country,city,industry,funding_round_id,object_id,funded_at,funding_round_type,raised_amount_usd,valuation_usd
Acronis,acronis,2003.0,2019-09-18,2.5,Switzerland,Schaffhausen,Cybersecurity,2611.0,c:6755,2004-01-01,venture,11000000.0,2500000000.0
Addepar,addepar,2009.0,2021-06-15,2.17,United States,Mountain View,Fintech,37620.0,c:64596,2011-06-15,series-a,15839694.0,2170000000.0
Age of Learning,ageoflearning,2007.0,2016-05-03,3.0,United States,Glendale,Edtech,46667.0,c:248515,2012-04-12,other,16500000.0,3000000000.0
Age of Learning,ageoflearning,2007.0,2016-05-03,3.0,United States,Glendale,Edtech,53962.0,c:248515,2011-06-17,other,15000000.0,3000000000.0
Algolia,algolia,2012.0,2021-07-28,2.25,United States,San Francisco,Internet,50543.0,c:171616,2013-10-01,series-a,1500000.0,2250000000.0
Alloy,alloy,2015.0,2021-09-30,1.35,United States,New York,Fintech,16415.0,c:657,2010-06-24,venture,126500000.0,1350000000.0
AppDirect,appdirect,2009.0,2015-10-07,1.1,United States,San Francisco,E-commerce & direct-to-consumer,22704.0,c:74323,2011-04-28,series-a,3250000.0,1100000000.0
AppDirect,appdirect,2009.0,2015-10-07,1.1,United States,San Francisco,E-commerce & direct-to-consumer,31368.0,c:74323,2012-07-18,series-a,8500000.0,1100000000.0
AppDirect,appdirect,2009.0,2015-10-07,1.1,United States,San Francisco,E-commerce & direct-to-consumer,48278.0,c:74323,2013-09-10,series-b,9000000.0,1100000000.0
AppDirect,appdirect,2009.0,2015-10-07,1.1,United States,San Francisco,E-commerce & direct-to-consumer,55907.0,c:74323,2011-03-07,other,2749820.0,1100000000.0
AppsFlyer,appsflyer,2011.0,2020-01-21,2.0,United States,San Francisco,Mobile & telecommunications,42094.0,c:151746,2012-01-01,venture,0.0,2000000000.0
Arctic Wolf Networks,arcticwolfnetworks,2012.0,2020-10-22,4.3,United States,Eden Prairie,Cybersecurity,55960.0,c:282123,2012-05-01,series-a,7250000.0,4300000000.0
Assembly,assembly,2019.0,2021-09-21,1.0,United States,Culver City,Internet,54609.0,c:67678,2013-01-01,angel,0.0,1000000000.0
Automattic,automattic,2005.0,2013-05-27,1.8,United States,San Francisco,Internet,777.0,c:1080,2005-10-01,series-a,1100000.0,1800000000.0
Automattic,automattic,2005.0,2013-05-27,1.8,United States,San Francisco,Internet,1419.0,c:1080,2008-01-01,series-b,29500000.0,1800000000.0
Axtria,axtria,2009.0,2021-05-13,1.0,United States,Berkeley Heights,Data,15195.0,c:47153,2010-05-03,venture,2500000.0,1000000000.0
Betterfly,betterfly,2018.0,2022-02-01,1.0,Chile,Santiago,Artificial intelligence,18435.0,c:47420,2010-09-20,series-a,0.0,1000000000.0
Betterfly,betterfly,2018.0,2022-02-01,1.0,Chile,Santiago,Artificial intelligence,28481.0,c:47420,2012-02-29,series-a,1500000.0,1000000000.0
Betterfly,betterfly,2018.0,2022-02-01,1.0,Chile,Santiago,Artificial intelligence,46236.0,c:47420,2013-08-21,angel,1000000.0,1000000000.0
Betterment,betterment,2010.0,2021-09-29,1.3,United States,New York,Fintech,20330.0,c:44467,2010-12-01,series-a,3000000.0,1300000000.0
Betterment,betterment,2010.0,2021-09-29,1.3,United States,New York,Fintech,32968.0,c:44467,2012-10-03,series-b,10000000.0,1300000000.0
BitSight Technologies,bitsighttechnologies,2013.0,2021-09-13,2.4,United States,Boston,Cybersecurity,39364.0,c:221968,2013-06-05,series-a,24000000.0,2400000000.0
BitSight Technologies,bitsighttechnologies,2013.0,2021-09-13,2.4,United States,Boston,Cybersecurity,53986.0,c:221968,2011-04-15,angel,1035000.0,2400000000.0
BlaBlaCar,blablacar,2006.0,2015-09-16,2.0,France,Paris,Auto & transportation,27579.0,c:79517,2012-01-16,venture,10000000.0,2000000000.0
BloomReach,bloomreach,2009.0,2022-02-23,2.2,United States,Mountain View,Artificial intelligence,33282.0,c:57161,2012-10-18,series-c+,25000000.0,2200000000.0
