company,company_clean,founded_year,country,city,industry,total_funding_usd,funding_rounds,valuation_usd,joined_date
1047 Games,1047games,2017.0,United States,Zephyr Cove,Internet,0.0,0,1500000000.0,2021-09-14
1KMXC,1kmxc,2014.0,China,Hangzhou,Hardware,0.0,0,1000000000.0,2021-08-30
1Password,1password,2005.0,Canada,Toronto,Cybersecurity,0.0,0,6800000000.0,2021-07-08
4Paradigm,4paradigm,2015.0,China,Beijing,Artificial intelligence,0.0,0,2000000000.0,2018-12-19
56PINGTAI,56pingtai,2013.0,China,Shanghai,"Supply chain, logistics, & delivery",0.0,0,1000000000.0,2021-01-25
58 Daojia,58daojia,2014.0,China,Beijing,Internet,0.0,0,1000000000.0,2015-10-12
6Sense,6sense,2013.0,United States,San Francisco,Artificial intelligence,0.0,0,5200000000.0,2021-03-30
A24 Films,a24films,2012.0,United States,New York,Other,0.0,0,3000000000.0,2022-03-09
ABL Space Systems,ablspacesystems,2017.0,United States,El Segundo,Other,0.0,0,2400000000.0,2021-03-25
AIWAYS,aiways,2017.0,China,Shanghai,Auto & transportation,0.0,0,1780000000.0,2018-04-16
ASAPP,asapp,2014.0,United States,New York,Artificial intelligence,0.0,0,1600000000.0,2021-05-19
Abogen,abogen,2019.0,China,Suzhou,Health,0.0,0,4000000000.0,2021-11-29
Accelerant,accelerant,2018.0,United Kingdom,Colchester,Other,0.0,0,2190000000.0,2022-01-12
Acko General Insurance,ackogeneralinsurance,2016.0,India,Bengaluru,Fintech,0.0,0,1100000000.0,2021-10-18
Acorns,acorns,2012.0,United States,Irvine,Fintech,0.0,0,2000000000.0,2022-03-09
Acronis,acronis,2003.0,Switzerland,Schaffhausen,Cybersecurity,11000000.0,1,2500000000.0,2019-09-18
ActiveCampaign,activecampaign,2003.0,United States,Chicago,Internet,0.0,0,3000000000.0,2021-04-21
Ada Support,adasupport,2016.0,Canada,Toronto,Artificial intelligence,0.0,0,1200000000.0,2021-05-07
Addepar,addepar,2009.0,United States,Mountain View,Fintech,15839694.0,1,2170000000.0,2021-06-15
Advance Intelligence Group,advanceintelligencegroup,2016.0,Singapore,Artificial intelligence,Other,0.0,0,2000000000.0,2021-09-23
Afiniti,afiniti,2006.0,Bermuda,Hamilton,Artificial intelligence,0.0,0,1600000000.0,2017-04-14
Age of Learning,ageoflearning,2007.0,United States,Glendale,Edtech,31500000.0,2,3000000000.0,2016-05-03
AgentSync,agentsync,2018.0,United States,Denver,Fintech,0.0,0,1200000000.0,2021-12-07
Agile Robots,agilerobots,2018.0,Germany,Munich,Hardware,0.0,0,1000000000.0,2021-09-09
Aibee,aibee,2017.0,China,Beijing,Artificial intelligence,0.0,0,1200000000.0,2021-04-13
Airbyte,airbyte,2020.0,United States,San Francisco,Internet,0.0,0,1500000000.0,2021-12-17
Aircall,aircall,2014.0,United States,New York,Internet,0.0,0,1000000000.0,2021-06-23
Airtable,airtable,2013.0,United States,San Francisco,Internet,0.0,0,11700000000.0,2018-11-15
Airwallex,airwallex,2015.0,Australia,Melbourne,Fintech,0.0,0,5500000000.0,2019-03-25
Aiven,aiven,2016.0,Finland,Helsinki,Internet,0.0,0,2000000000.0,2021-10-18
Ajaib,ajaib,2018.0,Indonesia,Jakarta,Fintech,0.0,0,1000000000.0,2021-10-04
Akulaku,akulaku,2014.0,Indonesia,Jakarta,E-commerce & direct-to-consumer,0.0,0,2000000000.0,2022-02-15
Alan,alan,2016.0,France,Paris,Fintech,0.0,0,1680000000.0,2021-04-19
Alation,alation,2012.0,United States,Redwood City,Internet,0.0,0,1200000000.0,2021-06-03
Alchemy,alchemy,2017.0,United States,San Francisco,Fintech,0.0,0,10200000000.0,2021-10-28
Aledade,aledade,2014.0,United States,Bethesda,Health,0.0,0,1900000000.0,2021-01-19
Aleo,aleo,2019.0,United States,San Francisco,Cybersecurity,0.0,0,1450000000.0,2022-02-07
Algolia,algolia,2012.0,United States,San Francisco,Internet,1500000.0,1,2250000000.0,2021-07-28
Alloy,alloy,2015.0,United States,New York,Fintech,126500000.0,1,1350000000.0,2021-09-30
Alto Pharmacy,altopharmacy,2015.0,United States,San Francisco,Health,0.0,0,1000000000.0,2020-01-30
Alzheon,alzheon,2013.0,United States,Framingham,Health,0.0,0,1310000000.0,2020-09-30
Amagi,amagi,2008.0,India,Bengaluru,Internet,0.0,0,1000000000.0,2022-03-16
Amber Group,ambergroup,2015.0,Hong Kong,Fintech,Other,0.0,0,3000000000.0,2021-06-21
Amount,amount,2019.0,United States,Chicago,Fintech,0.0,0,1000000000.0,2021-05-17
Amperity,amperity,2016.0,United States,Seattle,Artificial intelligence,0.0,0,1000000000.0,2021-07-13
Anchorage Digital,anchoragedigital,2017.0,United States,San Francisco,Fintech,0.0,0,3000000000.0,2021-12-15
Andela,andela,2014.0,United States,New York,Internet,0.0,0,1500000000.0,2021-09-29
Anduril,anduril,2017.0,United States,Irvine,Artificial intelligence,0.0,0,4600000000.0,2019-09-11
Ankorstore,ankorstore,2019.0,France,Paris,E-commerce & direct-to-consumer,0.0,0,2260000000.0,2022-01-10
Anyscale,anyscale,2019.0,United States,Berkeley,Other,0.0,0,1000000000.0,2021-12-07
Apeel Sciences,apeelsciences,2012.0,United States,Goleta,Other,0.0,0,2000000000.0,2020-05-26
AppDirect,appdirect,2009.0,United States,San Francisco,E-commerce & direct-to-consumer,23499820.0,4,1100000000.0,2015-10-07
Applied Intuition,appliedintuition,2017.0,United States,Sunnyvale,Data,0.0,0,3600000000.0,2020-10-22
ApplyBoard,applyboard,2015.0,Canada,Kitchener,Edtech,0.0,0,3000000000.0,2020-05-05
AppsFlyer,appsflyer,2011.0,United States,San Francisco,Mobile & telecommunications,0.0,1,2000000000.0,2020-01-21
Aprogen,aprogen,2000.0,South Korea,Seongnam-Si,Health,0.0,0,1040000000.0,2019-05-31
Aptos,aptos,2021.0,United States,Palo Alto,Internet,0.0,0,1000000000.0,2022-03-15
Apus Group,apusgroup,2014.0,China,Beijing,Mobile & telecommunications,0.0,0,1730000000.0,2015-01-16
Aqua Security,aquasecurity,2015.0,Israel,Ramat Gan,Cybersecurity,0.0,0,1000000000.0,2021-03-10
